Datum;Volume;Open;Hoog;Laag;Slot
18-11-2020;Null;598,36;603,77;597,61;600,88
17-11-2020;Null;599,57;601,69;596,8;600,94
16-11-2020;Null;602,06;604,19;597,6;601,67
13-11-2020;Null;597,67;601,92;596,87;596,87
12-11-2020;Null;595,32;603,44;594,83;600,05
11-11-2020;Null;591,3;600,43;589,05;599,21
10-11-2020;Null;590,37;594,82;588,95;591,87
9-11-2020;Null;581,11;599,2;580,09;593,93
6-11-2020;Null;569,45;574,64;565,64;572,9
5-11-2020;Null;570,7;573,75;569,52;571,6
4-11-2020;Null;548,48;565,66;547,6;565,26
3-11-2020;Null;547,05;555,57;546,7;554,48
2-11-2020;Null;535,41;545,27;533,39;543,91
30-10-2020;Null;529,22;536,21;529,11;533,88
29-10-2020;Null;534,62;538,23;527,86;534,43
28-10-2020;Null;539,69;541,13;529,17;534,09
27-10-2020;Null;547,97;547,97;542,07;545,65
26-10-2020;Null;545,97;551,9;545,6;545,95
23-10-2020;Null;552,53;558,33;551,39;554,34
22-10-2020;Null;554,94;557,17;549,66;554,2
21-10-2020;Null;566,31;566,4;556,44;557,4
20-10-2020;Null;565,65;566,73;562,37;564
19-10-2020;Null;572,06;574,24;563,91;567,52
16-10-2020;Null;564,4;570,83;562,84;568,18
15-10-2020;Null;564,33;564,97;557,76;560,47
14-10-2020;Null;572,23;574,35;569,85;571,98
13-10-2020;Null;572,62;575,52;569,24;572,47
12-10-2020;Null;568,82;573,84;568,78;572,31
9-10-2020;Null;561,17;567,79;560,98;567,17
8-10-2020;Null;557,83;561,61;554,82;559,94
7-10-2020;Null;554,24;556,19;551,72;554,6
6-10-2020;Null;559,77;559,81;553,63;555,38
5-10-2020;Null;557,61;559,65;555,44;557,92
2-10-2020;Null;545,32;553,12;542,82;553,12
1-10-2020;Null;551,17;553,44;547,83;550,54
30-9-2020;Null;546,51;551,88;545,68;547,7
29-9-2020;Null;552;552,09;548,37;548,92
28-9-2020;Null;547,91;553,19;545,28;551,67
25-9-2020;Null;542,87;544,41;535,12;540,91
24-9-2020;Null;537,14;544,41;536,86;541,11
23-9-2020;Null;546,55;550,72;544,72;545,68
22-9-2020;Null;538,85;545,89;538,2;540,78
21-9-2020;Null;546;546,37;533,22;536,01
18-9-2020;Null;553,5;555,54;550,14;550,85
17-9-2020;Null;550,17;553,99;548,27;552,48
16-9-2020;Null;556,25;559,99;556,03;558,43
15-9-2020;Null;553,28;557,6;551,43;555,95
14-9-2020;Null;556,25;557,64;551,78;552,44
11-9-2020;Null;550,06;554,68;548,76;552,01
10-9-2020;Null;553,04;553,88;548,41;550,5
9-9-2020;Null;541,88;553,13;541,74;552,05
8-9-2020;Null;547,38;548,48;534,65;540,79
7-9-2020;Null;541,17;547,86;541,15;547,14
4-9-2020;Null;545,49;552,34;535,21;540,27
3-9-2020;Null;565,45;568,08;546,8;549,6
2-9-2020;Null;555,34;565,57;554,71;561,27
1-9-2020;Null;552,78;556,47;547,43;552,22
31-8-2020;Null;559,83;561,92;548,7;549,2
28-8-2020;Null;563,65;563,65;555,39;556,8
27-8-2020;Null;567,75;568,21;562,41;562,41
26-8-2020;Null;559,73;566,26;558,28;566,23
25-8-2020;Null;563;565,91;559,65;559,81
24-8-2020;Null;557,29;563,74;557,29;560,99
21-8-2020;Null;552,73;554,9;545,01;551,37
20-8-2020;Null;552,68;555,39;550,39;552,44
19-8-2020;Null;557,79;560,34;556,5;560,23
18-8-2020;Null;561,65;565,54;557,74;559,44
17-8-2020;Null;562,01;563,98;558,08;562,94
14-8-2020;Null;568,51;568,86;557,27;560,84
13-8-2020;Null;572,77;573,23;569,18;569,95
12-8-2020;Null;564,67;575,71;564,67;575,06
11-8-2020;Null;561,75;569,09;561,07;565,56
10-8-2020;Null;560,34;561,63;555,49;557,08
7-8-2020;Null;555,75;561,38;554,88;559,57
6-8-2020;Null;560,21;563,98;557,09;558,46
5-8-2020;Null;563,3;566,3;562,09;563,05
4-8-2020;Null;561,03;563,1;554,65;557,94
3-8-2020;Null;546,52;559,03;544,96;557,73
31-7-2020;Null;551,14;556,89;545,29;545,29
30-7-2020;Null;564,67;564,67;543,63;549,2
29-7-2020;Null;563,2;566,82;563,11;564,11
28-7-2020;Null;566,79;568,02;561,9;566,33
27-7-2020;Null;561,6;566,73;560,19;564,37
24-7-2020;Null;568,08;568,14;560,54;563,95
23-7-2020;Null;578,41;580,74;574,98;576,67
22-7-2020;Null;578,4;579,21;571,35;572,9
21-7-2020;Null;584,04;587,03;580,42;581,29
20-7-2020;Null;573,48;580,46;569,46;579,14
17-7-2020;Null;575,45;575,97;572,27;573,8
16-7-2020;Null;573,86;574,57;569,66;573,94
15-7-2020;Null;577,67;582,43;575,25;577,56
14-7-2020;Null;571,44;572,51;566,37;572,51
13-7-2020;Null;578,26;579,27;573,55;578,85
10-7-2020;Null;565,28;571,92;564,71;570,52
9-7-2020;Null;574,92;576,05;566,71;567,38
8-7-2020;Null;573,76;578,27;570,87;572,18
7-7-2020;Null;576,97;577,1;572,27;575,52
6-7-2020;Null;579,62;580,21;573,79;578,52
3-7-2020;Null;572,47;574,01;566,92;568,63
2-7-2020;Null;566,93;571,24;564,45;570,75
1-7-2020;Null;561,01;564,57;553,91;562,67
30-6-2020;Null;563,34;564,76;555,58;559,73
29-6-2020;Null;558,55;563,22;556,07;560,16
26-6-2020;Null;564,98;569,23;559;559,82
25-6-2020;Null;555,93;562,21;549,88;560,41
24-6-2020;Null;571,41;572,54;557,33;557,33
23-6-2020;Null;568,95;576,45;568,79;574,19
22-6-2020;Null;562,28;571,5;561,42;565,07
19-6-2020;Null;566,52;570,47;565,95;567,83
18-6-2020;Null;564,68;569,63;560,7;562,61
17-6-2020;Null;560,67;568,66;560,43;566,48
16-6-2020;Null;553,17;564,35;551,76;560,01
15-6-2020;Null;534,08;543,89;529,78;541,92
12-6-2020;Null;536,81;550,96;535,35;545,16
11-6-2020;Null;549,58;551,46;540,26;540,26
10-6-2020;Null;564,6;567,27;558,21;559,28
9-6-2020;Null;568,53;569,62;558,42;561,75
8-6-2020;Null;567,44;572,08;563,56;566,2
5-6-2020;Null;563,86;573,46;562,8;572,8
4-6-2020;Null;557,89;563,87;555,95;559,13
3-6-2020;Null;551,69;562,46;551,54;561,3
2-6-2020;Null;543,04;547,99;541,41;546,12
1-6-2020;Null;540,47;540,61;532,89;539,54
29-5-2020;Null;533,73;536,94;529,98;532,57
28-5-2020;Null;532,21;539,62;531;538,62
27-5-2020;Null;532,42;533,4;523,26;528,96
26-5-2020;Null;538,4;538,65;529,72;531,3
25-5-2020;Null;528,72;533,56;526,23;532,82
22-5-2020;Null;515,03;525,1;514,32;524,38
21-5-2020;Null;524,22;529,46;522,14;522,81
20-5-2020;Null;517,73;531,31;517,52;531,06
19-5-2020;Null;525,2;525,2;515;520,45
18-5-2020;Null;509,19;521,41;508,76;519,89
15-5-2020;Null;507,07;508,33;499,21;500,31
14-5-2020;Null;504,24;506,38;492,42;499,03
13-5-2020;Null;513,45;518,07;510,35;512,19
12-5-2020;Null;517,77;523,64;517,38;520,44
11-5-2020;Null;522,95;525,11;515,53;520,33
8-5-2020;Null;520,3;521,61;517,37;520,57
7-5-2020;Null;508,86;516,26;508,2;516,26
6-5-2020;Null;509,24;510,87;505,15;505,55
5-5-2020;Null;503,85;511,01;499,74;509,83
4-5-2020;Null;496,54;498,81;490,79;496,31
30-4-2020;Null;527,31;528,69;511,76;512,92
29-4-2020;Null;519,89;527,55;518,5;526,96
28-4-2020;Null;512,91;521,57;512,15;519,97
27-4-2020;Null;513,04;514,66;509,6;512,19
24-4-2020;Null;503,56;511,96;502,42;504,94
23-4-2020;Null;509,93;517,35;504,92;512,73
22-4-2020;Null;500,67;510,32;499,63;509,62
21-4-2020;Null;506,06;506,92;495,62;495,76
20-4-2020;Null;508,03;512,76;502,12;512,76
17-4-2020;Null;509,76;511,89;504,22;505,82
16-4-2020;Null;498,54;499,52;492,76;496,08
15-4-2020;Null;506,41;506,78;489,38;491,13
14-4-2020;Null;512,17;513,54;505,82;507,74
9-4-2020;Null;506,55;511,93;499,05;508,04
8-4-2020;Null;496,19;500,71;491,49;500,71
7-4-2020;Null;503,97;508,56;494,11;499,85
6-4-2020;Null;486,26;491,68;482,69;489,82
3-4-2020;Null;475,21;477,13;469,67;471,46
2-4-2020;Null;473,98;482,66;468,12;478,28
1-4-2020;Null;468,99;475,59;465,29;471,3
31-3-2020;Null;480,9;486,04;475,48;483,44
30-3-2020;Null;465,75;476,12;455,03;475,98
27-3-2020;Null;471,16;474,37;458,03;464,93
26-3-2020;Null;463,04;482,99;458,63;482,99
25-3-2020;Null;471,44;482,53;454,59;475,4
24-3-2020;Null;441,27;461,73;437,54;461,73
23-3-2020;Null;411,79;437,15;410,08;423,72
20-3-2020;Null;440,1;449,08;429,69;431,98
19-3-2020;Null;403,71;425,16;398,46;422,75
18-3-2020;Null;410,85;415,85;398,04;404,1
17-3-2020;Null;431,65;432;401,46;424,26
16-3-2020;Null;409,05;421,36;389,6;416,77
13-3-2020;Null;451,76;466,84;425,22;432,85
12-3-2020;Null;460,95;463,54;428,09;432,1
11-3-2020;Null;493,37;497,66;482,19;484,16
10-3-2020;Null;498,76;513,23;482,05;484,7
9-3-2020;Null;506,95;506,95;485,73;490,66
6-3-2020;Null;540,58;543,89;528,49;531,29
5-3-2020;Null;561,42;562,26;547,81;552,54
4-3-2020;Null;550,49;561,29;547,37;557,73
3-3-2020;Null;551,5;561,49;548,03;550,22
2-3-2020;Null;550,95;554,32;530,14;542,17
28-2-2020;Null;541,44;543,65;531,18;539,38
27-2-2020;Null;569,97;573,6;552,65;559,98
26-2-2020;Null;577,81;583,6;565,29;581,78
25-2-2020;Null;596,58;597,56;581,52;582,71
24-2-2020;Null;601,82;602,99;588,4;593,3
21-2-2020;Null;619,59;621,85;613,2;617,33
20-2-2020;Null;628,88;629,16;622,12;622,12
19-2-2020;Null;627,47;629,48;627,25;629,2
18-2-2020;Null;623,1;626,68;622,76;625,43
17-2-2020;Null;630,56;632,12;627,04;629,17
14-2-2020;Null;629,14;630,55;627,49;629,23
13-2-2020;Null;626,7;629,14;621,98;629,14
12-2-2020;Null;624,79;629,11;624,52;629,03
11-2-2020;Null;621,52;625,21;621,52;623,85
10-2-2020;Null;615,03;617,1;614,06;617,1
7-2-2020;Null;616,75;617,94;614,07;616,46
6-2-2020;Null;617,29;619,21;616,99;618,75
5-2-2020;Null;604,27;615,63;604;613,41
4-2-2020;Null;596,26;605,52;596,09;605,4
3-2-2020;Null;591,43;594,52;589,4;592,36
31-1-2020;Null;601,53;601,95;589,44;589,5
30-1-2020;Null;599,27;600,88;596,75;598,95
29-1-2020;Null;602,99;606,2;602,26;605,22
28-1-2020;Null;601,04;603,3;596,77;602,96
27-1-2020;Null;605,91;607,4;597,83;598,69
24-1-2020;Null;610,56;615,92;610,56;614,24
23-1-2020;Null;610,17;610,35;605,41;605,62
22-1-2020;Null;609,9;613,18;609,09;611,56
21-1-2020;Null;610,45;611,89;607,32;611,89
20-1-2020;Null;615,07;615,6;613,39;614,23
17-1-2020;Null;613,95;616,46;613,45;615,57
16-1-2020;Null;612,41;614,41;611,36;612,06
15-1-2020;Null;611,99;612,69;609,62;611,56
14-1-2020;Null;609,52;611,88;605,07;611,15
13-1-2020;Null;610,48;611,36;606,49;608,9
10-1-2020;Null;614,15;614,17;610,42;610,43
9-1-2020;Null;614,02;615,74;612,5;612,55
8-1-2020;Null;607,53;611,42;606,56;610,48
7-1-2020;Null;609,83;612,19;607,89;609,71
6-1-2020;Null;605,95;607,84;601,82;607,24
